Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Ship,4,5,3,26,2053,1
A,Road,3,1,3,6,5572,1
F,Flight,3,2,4,3,4042,0
D,Flight,5,1,5,1,4672,0
B,Ship,5,4,2,44,2419,1
A,Ship,3,2,3,4,4208,0
F,Flight,5,4,3,11,3545,1
D,Ship,4,4,3,7,1597,1
F,Ship,5,4,3,2,5716,0
F,Road,4,2,3,5,5950,0
D,Ship,4,5,4,1,4458,1
F,Ship,4,2,3,6,5826,0
F,Ship,4,1,5,8,1048,0
B,Ship,5,1,5,6,1156,1
B,Ship,3,1,10,15,1107,1
F,Ship,3,5,3,54,2919,1
F,Ship,3,2,3,50,3958,1
B,Ship,3,3,5,9,1752,0
D,Road,5,4,6,10,1978,1
D,Flight,4,4,5,4,1668,0
C,Ship,4,2,2,1,2990,1
F,Flight,4,1,3,2,4499,0
D,Ship,3,1,6,8,5352,0
C,Road,4,4,2,1,4729,0
B,Ship,5,4,3,6,5221,0
C,Road,5,3,5,8,1981,1
F,Ship,4,4,2,3,4407,0
F,Ship,5,5,3,4,5724,1
D,Ship,7,2,4,5,1210,0
F,Road,2,1,2,10,4854,1
F,Flight,4,3,4,7,4829,0
B,Ship,4,3,3,10,5002,1
C,Flight,4,1,5,10,1762,1
A,Ship,4,1,3,9,5502,1
D,Ship,4,4,2,7,1479,1
C,Ship,3,4,2,29,1016,1
B,Ship,3,3,3,8,5070,0
C,Ship,6,2,4,4,1392,0
B,Road,3,2,2,2,4214,1
F,Road,3,2,3,2,5486,1
C,Ship,5,4,5,10,1350,0
C,Flight,4,4,2,33,2897,1
C,Flight,3,3,2,1,5884,1
D,Ship,2,3,3,11,1522,1
A,Ship,3,2,3,11,1282,1
F,Ship,4,1,2,10,5638,0
C,Ship,3,3,3,4,3791,1
A,Ship,3,1,3,7,5588,0
F,Ship,7,4,4,3,1262,1
B,Ship,4,4,2,2,5881,0
D,Ship,5,3,4,11,3676,1
B,Ship,4,2,3,7,4041,0
B,Ship,4,2,3,2,5252,1
D,Road,4,1,3,2,4188,0
A,Flight,5,5,2,6,4392,0
A,Ship,4,1,5,1,1235,0
D,Flight,5,3,2,3,5440,1
D,Ship,2,2,4,39,2424,1
F,Ship,2,1,5,4,5759,0
C,Flight,3,4,3,3,5149,0
A,Ship,4,3,2,1,4366,1
D,Ship,6,3,4,2,1694,0
D,Ship,6,3,5,1,1847,1
B,Ship,4,3,2,55,3833,1
B,Ship,4,2,3,4,3261,1
C,Road,3,5,3,4,5561,1
B,Ship,3,2,4,49,2414,1
F,Ship,3,4,3,9,5383,0
D,Ship,2,3,3,4,5524,0
D,Ship,5,3,4,2,5332,0
D,Ship,3,4,2,5,4363,0
F,Ship,3,3,2,2,5125,0
F,Road,2,2,3,5,6102,1
C,Ship,3,1,2,7,4684,0
D,Ship,3,1,2,8,4171,1
D,Flight,3,5,3,8,4557,1
B,Road,5,4,3,8,4535,0
F,Ship,3,4,8,15,1429,1
A,Ship,5,5,2,48,1834,1
B,Ship,3,2,3,3,3837,1
C,Flight,3,3,3,4,4339,1
B,Flight,4,5,3,10,4204,1
D,Ship,3,5,4,2,4640,0
F,Ship,3,1,2,1,2597,1
F,Ship,5,1,10,64,2529,1
F,Ship,7,3,4,3,1872,0
C,Ship,3,4,3,2,5659,1
B,Ship,7,1,4,9,1261,1
A,Ship,3,4,3,7,5516,1
F,Ship,4,3,5,2,1541,0
B,Ship,5,3,4,9,4754,0
D,Ship,3,1,3,2,4312,0
C,Ship,6,1,5,9,5113,0
F,Road,4,1,2,2,5825,0
F,Ship,5,1,5,3,1194,1
F,Flight,3,5,3,6,5150,0
A,Ship,4,3,5,15,1601,1
F,Flight,4,1,5,8,5711,0
F,Flight,3,1,3,59,1005,1
F,Ship,4,4,2,10,5173,1
F,Ship,5,5,7,6,5139,0
F,Road,3,2,2,39,3189,1
D,Road,4,1,3,5,3100,1
B,Ship,6,1,3,5,4012,0
F,Ship,4,3,3,10,5802,1
C,Road,6,1,4,4,1504,1
D,Ship,3,3,3,8,4522,0
F,Ship,4,3,4,1,5004,0
F,Ship,3,1,2,2,1304,1
F,Flight,4,1,3,5,4129,0
D,Ship,3,4,3,5,4432,0
C,Ship,5,5,5,2,1417,0
D,Ship,4,1,2,5,5691,0
B,Road,3,4,2,12,1694,1
B,Ship,3,5,3,9,5275,1
F,Ship,3,2,2,5,3443,1
A,Ship,4,1,3,2,4682,0
B,Road,3,2,3,48,2792,1
A,Ship,5,1,4,63,3506,1
C,Ship,3,5,2,5,4504,1
F,Ship,6,4,4,3,1946,0
F,Road,3,1,2,38,2195,1
B,Road,4,2,4,8,5660,0
B,Ship,4,1,2,7,4690,1
A,Ship,5,4,4,3,3755,1
C,Ship,5,1,5,8,1419,1
D,Ship,3,4,4,23,2048,1
F,Ship,3,2,3,3,4491,0
B,Road,4,5,2,4,4433,0
A,Ship,6,3,2,43,2300,1
D,Ship,3,1,2,27,2551,1
B,Ship,4,3,3,1,5433,1
B,Ship,4,5,2,3,5505,0
C,Road,5,1,5,7,1620,1
C,Road,3,2,4,9,5299,1
F,Flight,4,5,2,1,5671,0
F,Ship,5,2,3,2,5734,1
B,Ship,3,3,2,27,3473,1
B,Ship,5,4,4,7,5740,0
F,Ship,4,1,4,3,5496,0
A,Ship,3,5,2,27,3840,1
F,Ship,3,1,3,9,4380,1
F,Ship,5,2,8,5,4785,0
F,Ship,4,2,5,5,1812,0
D,Ship,5,5,3,4,5325,0
D,Ship,6,4,4,9,4005,1
F,Ship,6,3,6,29,2980,1
F,Ship,3,4,10,38,2018,1
F,Road,3,2,2,7,5531,1
B,Ship,2,4,2,3,5136,1
D,Ship,7,2,5,1,1178,0
F,Ship,3,2,3,8,4011,0
F,Ship,4,5,5,5,4833,0
A,Ship,3,4,3,37,1523,1
B,Ship,3,3,7,3,4385,0
F,Ship,3,3,3,1,5490,1
A,Ship,3,4,3,4,4191,0
C,Ship,5,1,3,25,3494,1
A,Ship,4,5,3,23,1785,1
A,Flight,5,4,3,11,3373,1
D,Road,4,1,3,32,2774,1
C,Ship,4,1,2,47,1682,1
A,Road,3,1,2,44,1994,1
C,Ship,4,3,3,9,5994,1
A,Ship,3,1,2,42,3459,1
F,Ship,3,4,2,39,3690,1
A,Road,4,3,3,1,5214,0
C,Road,5,3,6,3,1441,0
B,Ship,7,4,4,4,1248,1
F,Ship,3,1,3,2,5827,1
B,Road,5,5,3,3,5837,1
B,Flight,3,4,4,5,5545,1
B,Ship,4,2,3,8,4977,0
B,Road,5,3,2,37,3531,1
F,Ship,3,3,4,4,4307,1
D,Road,5,2,5,4,4196,1
C,Ship,4,2,3,12,3676,1
F,Flight,6,1,4,10,1290,1
C,Ship,2,2,4,6,4104,1
F,Flight,5,5,4,3,5274,1
C,Flight,3,2,2,5,5161,0
C,Ship,4,1,3,3,5919,0
F,Ship,4,2,2,9,5026,0
A,Road,3,1,5,4,4034,0
C,Ship,3,2,4,12,2777,1
A,Road,6,5,3,3,5709,1
C,Ship,3,4,2,64,2493,1
D,Road,3,4,3,8,5867,1
A,Ship,5,4,2,59,3444,1
F,Ship,5,4,3,44,1811,1
A,Ship,5,5,5,1,1924,1
D,Road,4,3,10,21,2943,1
C,Flight,4,5,3,6,5895,0
D,Ship,4,5,2,6,5062,1
F,Ship,3,1,2,9,5987,1
C,Ship,3,4,3,7,5036,1
C,Ship,2,4,5,3,1645,0
C,Ship,4,3,2,1,4762,0
D,Ship,6,5,4,1,1248,1
F,Flight,4,5,4,4,4750,0
F,Ship,4,3,2,7,4765,0
B,Road,3,4,3,4,4883,0
D,Flight,3,2,3,43,3339,1
C,Ship,3,2,4,7,4768,0
A,Ship,4,2,2,19,1387,1
B,Flight,3,3,2,30,3622,1
F,Ship,2,3,3,57,2034,1
D,Flight,5,3,3,62,1304,1
D,Ship,3,2,2,2,3239,1
F,Ship,4,4,5,3,5901,1
A,Road,3,5,2,2,5839,0
F,Ship,3,4,2,8,4394,0
A,Ship,4,1,2,1,4027,0
D,Ship,3,2,4,10,5565,0
B,Ship,3,2,3,3,4563,1
B,Ship,5,1,5,3,1644,1
F,Ship,4,1,3,4,3686,1
C,Ship,3,2,4,3,4423,0
F,Ship,4,1,3,4,4530,1
C,Ship,3,2,8,3,4584,0
F,Ship,6,5,4,2,1824,0
B,Ship,3,5,3,8,3813,1
C,Road,5,5,4,6,4557,1
F,Ship,3,1,2,4,5521,0
B,Ship,3,4,3,4,4269,0
B,Ship,4,3,2,58,1657,1
F,Road,3,4,2,8,5793,0
F,Ship,3,4,2,5,4402,0
C,Ship,2,4,3,48,1219,1
D,Ship,5,1,5,4,1259,1
B,Ship,3,4,3,6,5680,0
F,Ship,4,4,3,2,5473,1
D,Ship,4,5,2,8,4422,0
F,Ship,6,3,4,3,1752,1
F,Ship,3,4,4,9,4537,0
D,Flight,4,2,3,3,5174,0
D,Road,4,2,3,8,4575,1
B,Ship,3,2,4,48,3370,1
A,Ship,3,2,3,44,3809,1
F,Ship,5,5,4,53,2624,1
B,Flight,5,1,5,10,1713,0
B,Ship,3,2,2,46,1436,1
F,Ship,6,1,4,10,1003,0
B,Ship,4,3,3,6,5054,1
F,Flight,3,3,3,4,4088,0
A,Ship,5,5,3,56,3482,1
F,Ship,3,4,3,7,5313,0
F,Ship,5,5,3,2,4545,1
F,Ship,5,3,2,1,5603,0
C,Flight,4,1,4,5,5570,1
F,Ship,4,2,2,9,4490,0
F,Ship,3,3,3,19,3770,1
A,Ship,4,2,3,8,5214,1
C,Ship,5,4,4,6,4412,1
D,Ship,3,5,3,9,4892,1
D,Ship,2,3,2,11,1383,1
F,Ship,2,2,4,4,5817,0
B,Road,4,4,6,3,4834,0
D,Flight,5,1,3,24,2957,1
F,Ship,4,4,3,6,4343,1
D,Road,6,5,4,6,1140,0
F,Ship,4,2,2,5,4668,0
B,Ship,4,5,4,4,5736,0
F,Flight,5,1,3,19,2625,1
F,Ship,7,5,4,10,1166,1
A,Ship,3,3,4,4,1560,1
A,Ship,5,5,5,8,1332,1
A,Ship,4,2,10,2,5616,1
B,Ship,2,5,2,9,4610,0
D,Ship,3,3,3,3,1693,1
A,Ship,4,2,3,7,5342,0
A,Ship,4,5,5,6,1579,1
B,Ship,3,1,2,9,4940,0
B,Flight,5,3,5,7,1565,1
F,Ship,5,3,3,5,4484,0
A,Ship,7,5,4,1,1690,1
A,Ship,3,3,2,7,4859,0
A,Road,4,4,2,2,4800,0
C,Road,6,1,4,5,5235,1
C,Ship,3,2,3,8,5447,1
A,Road,4,3,3,58,1453,1
D,Ship,3,5,3,5,4710,1
B,Road,3,3,2,3,4665,0
F,Ship,5,1,5,10,5413,1
A,Ship,7,5,4,6,1591,1
B,Ship,3,2,3,19,3183,1
F,Road,3,4,6,2,1837,0
A,Ship,4,5,3,8,4125,0
C,Ship,4,1,2,10,4577,1
C,Ship,4,4,4,6,4377,1
F,Ship,3,1,2,2,4352,0
D,Ship,5,2,3,49,3236,1
A,Ship,5,5,5,7,1692,0
A,Ship,2,5,2,49,3024,1
F,Ship,5,1,6,1,1150,0
F,Ship,7,2,4,10,1587,0
A,Ship,4,5,2,10,5865,1
A,Ship,2,1,2,2,4520,1
A,Flight,3,4,4,10,4107,0
D,Ship,5,1,5,5,5854,0
F,Road,4,1,4,9,5382,0
F,Road,6,2,5,7,4057,0
B,Ship,5,3,6,3,1960,1
A,Road,4,1,3,9,4678,0
A,Ship,6,5,6,10,1081,1
A,Ship,3,1,3,3,4556,1
F,Ship,5,3,3,6,5357,0
C,Ship,5,5,3,6,4423,1
D,Flight,4,3,5,10,1646,1
A,Road,4,1,5,10,1144,0
A,Road,4,5,5,7,1070,1
F,Ship,4,1,2,37,3510,1
C,Flight,4,5,3,10,5898,1
A,Ship,5,2,5,1,1004,1
F,Ship,5,2,6,12,1920,1
C,Road,4,3,2,52,1570,1
B,Flight,4,3,3,5,5743,1
F,Road,2,3,4,5,5989,1
